,date,close,change,rsi,up,down,ma_fast,ma_slow,ma_200,ema_slow,ema_fast,macd,ema_macd
0,2014-02-24,217.65,8.05,83.74608150470219,0.0,0.0,0.0,0.0,0.0,236.88537301635867,248.04524813317448,11.159875116815812,0.0
1,2014-02-25,248.0,30.35,83.74608150470219,0.0,0.0,0.0,0.0,0.0,236.88537301635867,248.04524813317448,11.159875116815812,0.0
2,2014-02-26,253.0,5.0,83.74608150470219,0.0,0.0,0.0,0.0,0.0,236.88537301635867,248.04524813317448,11.159875116815812,0.0
3,2014-02-27,252.54,-0.46,83.74608150470219,0.0,0.0,0.0,0.0,0.0,236.88537301635867,248.04524813317448,11.159875116815812,0.0
4,2014-02-28,244.81,-7.73,83.74608150470219,0.0,0.0,0.0,0.0,0.0,236.88537301635867,248.04524813317448,11.159875116815812,0.0
5,2014-03-03,250.56,5.75,83.74608150470219,0.0,0.0,0.0,0.0,0.0,236.88537301635867,248.04524813317448,11.159875116815812,0.0
6,2014-03-04,254.84,4.28,83.74608150470219,0.0,0.0,0.0,0.0,0.0,236.88537301635867,248.04524813317448,11.159875116815812,0.0
7,2014-03-05,252.66,-2.18,84.92586490939044,0.0,0.0,0.0,0.0,0.0,236.88537301635867,248.04524813317448,11.159875116815812,0.0
8,2014-03-06,252.94,0.28,81.41427122606817,0.0,0.0,0.0,0.0,0.0,236.88537301635867,248.04524813317448,11.159875116815812,11.15987511681581
9,2014-03-07,246.21,-6.73,81.52871959539173,0.0,0.0,0.0,0.0,0.0,236.88537301635867,248.04524813317448,11.159875116815812,11.15987511681581
10,2014-03-10,238.84,-7.37,69.52360947778158,0.0,0.0,0.0,0.0,0.0,236.88537301635867,248.04524813317448,11.159875116815812,11.15987511681581
11,2014-03-11,234.41,-4.43,58.51522437103014,0.0,0.0,0.0,0.0,0.0,236.88537301635867,248.04524813317448,11.159875116815812,11.15987511681581
12,2014-03-12,241.49,7.08,52.66713471053741,0.0,0.0,245.2269230769231,0.0,0.0,236.88537301635867,248.04524813317448,11.159875116815812,11.15987511681581
13,2014-03-13,237.79,-3.7,60.10199265253399,0.0,0.0,246.77615384615387,0.0,0.0,236.88537301635867,248.04524813317448,11.159875116815812,11.15987511681581
14,2014-03-14,230.97,-6.82,54.84914287500753,0.0,0.0,245.46615384615387,0.0,0.0,236.88537301635867,247.29197023084836,10.406597214489693,11.076177572112908
15,2014-03-17,233.98,3.01,46.17136945928286,0.0,0.0,244.00307692307695,0.0,0.0,236.88537301635867,245.95022719633923,9.064854179980557,10.843397468020102
16,2014-03-18,240.04,6.06,50.22616081295875,0.0,0.0,243.0415384615385,0.0,0.0,236.88537301635867,244.8217578946665,7.93638487830782,10.485231885963659
17,2014-03-19,235.84,-4.2,57.70884835617403,0.0,0.0,242.3515384615385,0.0,0.0,236.88537301635867,244.42394382367095,7.538570807312283,10.082864740463267
18,2014-03-20,234.91,-0.93,51.45422750148662,0.0,0.0,241.1476923076923,0.0,0.0,236.88537301635867,243.19484491162686,6.309471895268189,9.543931049180198
19,2014-03-21,228.89,-6.02,50.0528101379591,0.0,0.0,239.15153846153845,0.0,0.0,236.88537301635867,241.02901091459475,4.143637898236079,8.764349136004673
20,2014-03-24,220.17,-8.72,41.513934967053004,0.0,0.0,236.65230769230766,0.0,0.0,236.88537301635867,238.57361796123817,1.6882449448795,7.7119457835673035
21,2014-03-25,220.44,0.27,32.223904397062455,0.0,0.0,234.1523076923077,0.0,0.0,236.88537301635867,235.8800636501156,-1.0053093662430683,6.360258618782984
22,2014-03-26,212.96,-7.48,32.76740146852224,0.0,0.0,231.5946153846154,0.0,0.0,236.88537301635867,233.5039453334523,-3.381427682906377,4.744558307702741
23,2014-03-27,207.32,-5.64,26.022762800701926,0.0,0.0,229.17000000000002,0.0,0.0,236.88537301635867,231.6387370820708,-5.246635934287866,3.005310180060791
24,2014-03-28,212.37,5.05,22.033252481541595,0.0,0.0,227.4746153846154,0.0,0.0,236.88537301635867,230.41793178695093,-6.46744122940774,1.2794995790176467
25,2014-03-31,208.45,-3.92,32.79594070562429,0.0,0.0,224.93307692307698,0.0,0.0,236.88537301635867,227.98665650094128,-8.89871651541739,-0.5910672425073769
26,2014-04-01,216.97,8.52,29.151628007650203,0.0,0.0,223.33153846153849,0.0,0.0,236.88537301635867,226.2089801634595,-10.67639285289917,-2.6149520936419828
27,2014-04-02,230.29,13.32,44.72617373686086,0.0,0.0,223.27923076923076,0.0,0.0,236.88537301635867,225.76499320985053,-11.12037980650814,-4.551602282728242
28,2014-04-03,225.4,-4.89,60.54564283661746,0.0,0.0,222.61923076923077,0.0,0.0,236.88537301635867,224.66958066370597,-12.215792352652699,-6.369316755049216
29,2014-04-04,212.225,-13.175,53.934311291193424,0.0,0.0,220.47961538461536,233.23216666666664,0.0,236.88537301635867,222.09708204713917,-14.788290969219503,-8.200042967726883
30,2014-04-07,207.52,-4.705,40.1524790148417,0.0,0.0,218.30115384615382,232.8945,0.0,236.88537301635867,219.64356592046585,-17.241807095892824,-10.0040982710213
31,2014-04-08,215.46,7.94,36.28904776198035,0.0,0.0,216.80499999999998,231.80983333333333,0.0,235.8659550428406,217.45203962165274,-18.413915421187852,-11.674374686385908
32,2014-04-09,216.93,1.47,46.43611539205243,0.0,0.0,215.885,230.60750000000002,0.0,234.5670645911746,215.92625337363637,-18.640811217538243,-13.162616384524839
33,2014-04-10,204.19,-12.74,48.21748175572569,0.0,0.0,214.65576923076924,228.99583333333334,0.0,233.0011917628704,214.84693093253833,-18.154260830332078,-14.461151895738652
34,2014-04-11,203.78,-0.41,36.08380561006772,0.0,0.0,213.3742307692308,227.62816666666666,0.0,231.79318411210662,213.62011185723614,-18.173072254870476,-15.491635866788997
35,2014-04-14,198.09,-5.69,35.74606958386789,0.0,0.0,212.23038461538462,225.87916666666663,0.0,230.11975925254785,213.01630884937524,-17.103450403172616,-16.205753372374932
36,2014-04-15,193.91,-4.18,31.041847513293263,0.0,0.0,211.1988461538462,223.84816666666663,0.0,228.07380879150486,212.91508818512025,-15.158720606384605,-16.654457905694542
37,2014-04-16,199.11,5.2,27.895514419307688,0.0,0.0,210.17884615384617,222.06316666666663,0.0,226.17532383784535,212.37287508147946,-13.80244875636589,-16.830753061662676
38,2014-04-17,198.12,-0.99,37.14227563695631,0.0,0.0,209.38423076923078,220.23583333333332,0.0,224.17584099312148,212.25448283224443,-11.921358160877048,-16.512204971846845
39,2014-04-21,204.38,6.26,36.1136038462698,0.0,0.0,208.41576923076926,218.8415,0.0,222.5936096669577,211.28489223738075,-11.308717429576944,-15.85297278670064
40,2014-04-22,218.64,14.26,46.95196361147399,0.0,0.0,207.5196153846154,218.16816666666665,0.0,221.63285923644307,209.11527386406553,-12.517585372377539,-15.197825003499492
41,2014-04-23,207.99,-10.65,63.43697558643993,0.0,0.0,206.18038461538464,217.2875,0.0,220.673501732474,206.9259590118442,-13.74754272062978,-14.654128503842998
42,2014-04-24,207.86,-0.13,49.92019903914008,0.0,0.0,205.84461538461542,216.16649999999998,0.0,219.29261602497854,206.27136854861885,-13.02124747635969,-14.083793686734953
43,2014-04-25,199.85,-8.01,49.76918000636388,0.0,0.0,205.25461538461542,214.90183333333331,0.0,217.90971970414964,205.82182384087773,-12.08789586327191,-13.407662976557337
44,2014-04-28,198.51,-1.34,40.87931881267615,0.0,0.0,203.95076923076923,213.81983333333332,0.0,216.82358763668358,204.23057421902027,-12.593013417663315,-12.906503311500746
45,2014-04-29,206.92,8.41,39.50218946312947,0.0,0.0,203.18076923076922,212.9178333333333,0.0,215.69820648428126,202.6818649712834,-13.016341512997855,-12.66846119001333
46,2014-04-30,207.89,0.97,51.47231366510944,0.0,0.0,203.4653846153846,211.84616666666665,0.0,214.22226855273118,202.71531617250756,-11.506952380223623,-12.413406037108635
47,2014-05-01,207.73,-0.16,52.73083182638314,0.0,0.0,203.76923076923077,210.90916666666664,0.0,212.92005393364502,202.79842090607536,-10.121633027569658,-12.213436577852256
48,2014-05-02,210.91,3.18,52.468972828535435,0.0,0.0,204.75538461538463,210.10916666666665,0.0,211.68428640811987,203.77762136807945,-7.906665040040423,-11.835430756792645
49,2014-05-05,216.61,5.7,57.376937794262375,0.0,0.0,206.50153846153847,209.69983333333334,0.0,210.84308743059714,205.644474733159,-5.198612697438136,-11.022211570688265
