,date,close,change,rsi,up,down,ma_fast,ma_slow,ema_slow,ema_fast,macd,ema_macd
0,2018-04-03,149.01,149.01,93.66287923158018,0.0,0.0,0.0,0.0,153.09430296947133,149.03960682544945,-4.054696144021875,0.0
1,2018-04-04,144.22,-4.79,93.66287923158018,0.0,0.0,0.0,0.0,153.09430296947133,149.03960682544945,-4.054696144021875,0.0
2,2018-04-05,143.99,-0.23,93.66287923158018,0.0,0.0,0.0,0.0,153.09430296947133,149.03960682544945,-4.054696144021875,0.0
3,2018-04-06,147.92,3.93,93.66287923158018,0.0,0.0,0.0,0.0,153.09430296947133,149.03960682544945,-4.054696144021875,0.0
4,2018-04-09,150.0,2.08,93.66287923158018,0.0,0.0,0.0,0.0,153.09430296947133,149.03960682544945,-4.054696144021875,0.0
5,2018-04-10,154.9,4.9,93.66287923158018,0.0,0.0,0.0,0.0,153.09430296947133,149.03960682544945,-4.054696144021875,0.0
6,2018-04-11,149.57,-5.33,93.66287923158018,0.0,0.0,0.0,0.0,153.09430296947133,149.03960682544945,-4.054696144021875,0.0
7,2018-04-12,149.1,-0.47,90.37155639274782,0.0,0.0,0.0,0.0,153.09430296947133,149.03960682544945,-4.054696144021875,0.0
8,2018-04-13,149.0,-0.1,90.04603090937245,0.0,0.0,0.0,0.0,153.09430296947133,149.03960682544945,-4.054696144021875,-4.054696144021875
9,2018-04-16,144.32,-4.68,89.96558969962089,0.0,0.0,0.0,0.0,153.09430296947133,149.03960682544945,-4.054696144021875,-4.054696144021875
10,2018-04-17,148.49,4.17,85.78150632781252,0.0,0.0,0.0,0.0,153.09430296947133,149.03960682544945,-4.054696144021875,-4.054696144021875
11,2018-04-18,154.91,6.42,86.43721332932344,0.0,0.0,0.0,0.0,153.09430296947133,149.03960682544945,-4.054696144021875,-4.054696144021875
12,2018-04-19,153.47,-1.44,87.4747167793761,0.0,0.0,149.14615384615385,0.0,153.09430296947133,149.03960682544945,-4.054696144021875,-4.054696144021875
13,2018-04-20,158.45,4.98,85.7580354024235,0.0,0.0,149.8723076923077,0.0,153.09430296947133,149.03960682544945,-4.054696144021875,-4.054696144021875
14,2018-04-23,158.04,-0.41,86.80298758261564,0.0,0.0,150.93538461538463,0.0,153.09430296947133,150.07293310286568,-3.021369866605653,-3.9398821131978505
15,2018-04-24,155.07,-2.97,86.19553471539749,0.0,0.0,151.7876923076923,0.0,153.09430296947133,151.09421808362947,-2.000084885841858,-3.7115919734000706
16,2018-04-25,153.33,-1.74,81.38240239180693,0.0,0.0,152.20384615384614,0.0,153.09430296947133,151.61061698959946,-1.483685979871865,-3.425924177383403
17,2018-04-26,156.6,3.27,78.39050905414462,0.0,0.0,152.71153846153848,0.0,153.09430296947133,152.04404396609726,-1.050259003374066,-3.092097828422535
18,2018-04-27,159.98,3.38,80.00241070269874,0.0,0.0,153.1023076923077,0.0,153.09430296947133,152.0217234300419,-1.0725795394294266,-2.760751539023374
19,2018-04-30,161.67,1.69,81.65277607182786,0.0,0.0,154.03307692307692,0.0,153.09430296947133,152.77279416052085,-0.32150880895048317,-2.345952946237664
20,2018-05-01,164.88,3.21,82.49546970522522,0.0,0.0,155.24692307692305,0.0,153.09430296947133,153.79360585849932,0.6993028890279902,-1.8177308314543459
21,2018-05-02,170.0,5.12,84.11250633914364,0.0,0.0,156.8623076923077,0.0,153.09430296947133,155.1439191035559,2.049616134084573,-1.1394739116647405
22,2018-05-03,160.38,-9.62,86.44298528110923,0.0,0.0,158.09769230769228,0.0,153.09430296947133,156.79864224417165,3.7043392747003168,-0.27735886514005254
23,2018-05-04,154.26,-6.12,65.41055245130599,0.0,0.0,158.54153846153847,0.0,153.09430296947133,157.77725019280916,4.682947223337834,0.5786763670758904
24,2018-05-07,150.0,-4.26,55.405179924723384,0.0,0.0,158.16384615384618,0.0,153.09430296947133,157.80811099950012,4.713808030028787,1.3246644688392957
25,2018-05-08,150.64,0.64,49.28323246662603,0.0,0.0,157.94615384615383,0.0,153.09430296947133,158.05927924881357,4.964976279342238,2.0411824976408623
26,2018-05-09,150.07,-0.57,50.246789668456884,0.0,0.0,157.30153846153846,0.0,153.09430296947133,157.65272150582118,4.558418536349848,2.6643688909435195
27,2018-05-10,158.13,8.06,49.27407363265886,0.0,0.0,157.30846153846153,0.0,153.09430296947133,157.62306713417374,4.528764164702409,3.2867404136248344
28,2018-05-11,156.77,-1.36,61.55271701886713,0.0,0.0,157.43923076923076,0.0,153.09430296947133,157.9205266317399,4.826223662268575,3.85871068820473
29,2018-05-14,159.97,3.2,58.75308020663465,0.0,0.0,157.95,153.90466666666666,153.09430296947133,158.6146983556978,5.5203953862264825,4.394387632337895
30,2018-05-15,158.71,-1.26,63.33140497913637,0.0,0.0,158.11230769230767,154.22799999999998,153.09430296947133,158.88360138287382,5.789298413402491,4.809907885595441
31,2018-05-16,161.39,2.68,60.258825714493966,0.0,0.0,158.2207692307692,154.80033333333333,153.73779587819857,158.85101316852007,5.113217290321501,4.966449887331129
32,2018-05-17,158.76,-2.63,64.52920046878643,0.0,0.0,157.99692307692305,155.29266666666666,154.3655077453806,158.4766435688003,4.1111358234197155,4.902915287340227
33,2018-05-18,150.8,-7.96,57.460168689394784,0.0,0.0,156.91384615384612,155.3886666666667,154.64735530265352,157.2941225769369,2.646767274283377,4.673244092257404
34,2018-05-21,150.22,-0.58,41.433071028325415,0.0,0.0,155.39230769230767,155.39600000000002,154.81465975400099,155.31044612870596,0.4957863747049771,4.176667436186597
35,2018-05-22,150.43,0.21,40.47340645987892,0.0,0.0,154.62692307692308,155.247,154.7251956984523,154.42747144577515,-0.297724252677142,3.6370960151835985
36,2018-05-23,154.37,3.94,41.050163667586396,0.0,0.0,154.63538461538462,155.407,154.99891517365202,154.44691635655676,-0.5519988170952672,3.072566794983856
37,2018-05-24,154.59,0.22,51.364849037398706,0.0,0.0,154.98846153846156,155.58999999999997,155.31207515061777,155.03745798307244,-0.2746171675453297,2.5058067027823117
38,2018-05-25,156.6,2.01,51.91296772007277,0.0,0.0,155.4469230769231,155.8433333333333,155.68054742496497,155.68461620966278,0.004068784697807359,1.8928815248346809
39,2018-05-29,154.62,-1.98,57.07005875025091,0.0,0.0,155.79692307692312,156.18666666666667,156.2783713980121,156.37485714968793,0.09648575167582862,1.2603467846428296
40,2018-05-30,156.38,1.76,50.807901070913964,0.0,0.0,155.6623076923077,156.44966666666667,156.7042482266082,156.14451733816225,-0.5597308884459551,0.6300192092242235
41,2018-05-31,157.71,1.33,55.83365693351148,0.0,0.0,155.73461538461538,156.54300000000003,156.82136258780312,156.13195587218584,-0.689406715617281,0.09662559377566836
42,2018-06-01,159.24,1.53,59.483110900505906,0.0,0.0,155.67846153846153,156.73533333333333,157.05056022933303,155.76595607983643,-1.2846041494966016,-0.34019345331099593
