date,close,change,rsi,up,down
2014-01-07,4.18,0.05,52.80898876404495,0.0,0.0
2014-01-08,4.18,0.0,52.80898876404495,0.0,0.0
2014-01-09,4.09,-0.09,52.80898876404495,0.0,0.0
2014-01-10,4.17,0.08,52.80898876404495,0.0,0.0
2014-01-13,4.13,-0.04,52.80898876404495,0.0,0.0
2014-01-14,4.3,0.17,52.80898876404495,0.0,0.0
2014-01-15,4.47,0.17,52.80898876404495,0.0,0.0
2014-01-16,4.38,-0.09,52.80898876404495,0.0,0.0
2014-01-17,4.18,-0.2,47.338129496402885,0.0,0.0
2014-01-21,4.17,-0.01,37.477624084621645,0.0,0.0
2014-01-22,3.67,-0.5,37.03678176763849,0.0,0.0
2014-01-23,3.62,-0.05,22.149055229847946,0.0,0.0
2014-01-24,3.47,-0.15,21.176228056842106,0.0,0.0
2014-01-27,3.41,-0.06,18.40468251881633,0.0,0.0
2014-01-28,3.54,0.13,17.36567876953299,0.0,0.0
2014-01-29,3.48,-0.06,27.50033113601458,0.0,0.0
2014-01-30,3.48,0.0,25.829385532493575,0.0,0.0
2014-01-31,3.43,-0.05,25.829385532493575,0.0,0.0
2014-02-03,3.33,-0.1,24.227139597804964,0.0,0.0
2014-02-04,3.37,0.04,21.21861189049784,0.0,0.0
2014-02-05,3.31,-0.06,25.450632511074446,0.0,0.0
2014-02-06,3.41,0.1,23.304542496023984,0.0,0.0
2014-02-07,3.47,0.06,33.91834414621336,0.0,0.0
2014-02-10,3.63,0.16,39.645682798029604,0.0,0.0
2014-02-11,3.7,0.07,52.25658380559929,0.0,0.0
2014-02-12,3.69,-0.01,56.77270736942927,0.0,0.0
2014-02-13,3.7,0.01,55.909271541183486,0.0,0.0
2014-02-14,3.69,-0.01,56.66253331432642,0.0,0.0
2014-02-18,3.7,0.01,55.577385956830994,0.0,0.0
2014-02-19,3.72,0.02,56.528835905158466,0.0,0.0
2014-02-20,3.69,-0.03,58.557676272960805,0.0,0.0
2014-02-21,3.69,0.0,54.21970229953303,0.0,0.0
2014-02-24,3.71,0.02,54.21970229953303,0.0,0.0
2014-02-25,3.69,-0.02,56.993830365588344,0.0,0.0
2014-02-26,3.7,0.01,53.30246419549818,0.0,0.0
2014-02-27,3.71,0.01,54.969067261163254,0.0,0.0
2014-02-28,3.71,0.0,56.73379988441736,0.0,0.0
2014-03-03,3.67,-0.04,56.73379988441736,0.0,0.0
2014-03-04,3.7,0.03,47.09198380762404,0.0,0.0
2014-03-05,3.71,0.01,53.81914927028227,0.0,0.0
2014-03-06,3.73,0.02,55.952688955661465,0.0,0.0
2014-03-07,3.95,0.22,60.15978487526769,0.0,0.0
2014-03-10,3.81,-0.14,81.896870199607,0.0,0.0
2014-03-11,3.85,0.04,58.631577670662814,0.0,0.0
2014-03-12,3.91,0.06,62.143208983111606,0.0,0.0
2014-03-13,3.86,-0.05,66.9523135658533,0.0,0.0
2014-03-14,3.85,-0.01,59.7263302225789,0.0,0.0
2014-03-17,3.8,-0.05,58.28840765058978,0.0,0.0
2014-03-18,3.89,0.09,51.23929049093793,0.0,0.0
2014-03-19,3.98,0.09,60.95335017184508,0.0,0.0
2014-03-20,4.05,0.07,68.19473620436398,0.0,0.0
2014-03-21,4.04,-0.01,72.69579722275301,0.0,0.0
2014-03-24,4.05,0.01,71.05407825681085,0.0,0.0
2014-03-25,4.05,0.0,71.78236445327654,0.0,0.0
2014-03-26,4.05,0.0,71.78236445327654,0.0,0.0
2014-03-27,3.91,-0.14,71.78236445327654,0.0,0.0
2014-03-28,3.88,-0.03,47.04579823514445,0.0,0.0
2014-03-31,4.01,0.13,43.38445094220191,0.0,0.0
2014-04-01,4.07,0.06,59.1347364928516,0.0,0.0
2014-04-02,4.06,-0.01,64.36401025748177,0.0,0.0
2014-04-03,4.0,-0.06,62.83252684566189,0.0,0.0
2014-04-04,4.01,0.01,54.018839349819366,0.0,0.0
2014-04-07,3.88,-0.13,55.215420936472924,0.0,0.0
2014-04-08,3.99,0.11,39.81981150056032,0.0,0.0
2014-04-09,3.98,-0.01,52.600437140807664,0.0,0.0
2014-04-10,3.85,-0.13,51.464880501527915,0.0,0.0
2014-04-11,3.65,-0.2,38.96666552700561,0.0,0.0
2014-04-14,3.71,0.06,27.306933960487044,0.0,0.0
2014-04-15,3.79,0.08,34.07067737034852,0.0,0.0
2014-04-16,3.76,-0.03,42.25758291680827,0.0,0.0
2014-04-17,3.69,-0.07,40.122324385732156,0.0,0.0
2014-04-21,4.12,0.43,35.35799116597977,0.0,0.0
2014-04-22,4.3,0.18,64.74661426924126,0.0,0.0
2014-04-23,4.25,-0.05,71.0444605003367,0.0,0.0
2014-04-24,4.28,0.03,67.23157344171088,0.0,0.0
2014-04-25,4.05,-0.23,68.39469964529273,0.0,0.0
2014-04-28,3.96,-0.09,52.169602451084394,0.0,0.0
2014-04-29,4.03,0.07,47.16581530872237,0.0,0.0
2014-04-30,4.09,0.06,51.31641922109786,0.0,0.0
2014-05-01,4.2,0.11,54.795192032203765,0.0,0.0
2014-05-02,4.12,-0.08,60.68186423351798,0.0,0.0
2014-05-05,4.09,-0.03,54.75532906012383,0.0,0.0
2014-05-06,4.01,-0.08,52.555527207220614,0.0,0.0
